Inf number: 1,761.8389129638672,background,aeroplane
Inf number: 2,747.0736503601074,background,cow,person
Inf number: 3,747.8795051574707,background,aeroplane
Inf number: 4,745.8570003509521,background,person
Inf number: 5,749.4049072265625,background,aeroplane
Inf number: 6,745.9192276000977,background,motorbike,person
Inf number: 7,747.1506595611572,background,car
Inf number: 8,744.1122531890869,background,cat
Inf number: 9,745.0399398803711,background,cat,pottedplant
Inf number: 10,745.2919483184814,background,bottle,person
Inf number: 11,746.7062473297119,background,person
Inf number: 12,745.2144622802734,background,cat,chair,dog
Inf number: 13,744.8556423187256,background,cow
Inf number: 14,745.5687522888184,background,person
Inf number: 15,746.2310791015625,background,bicycle,car,person
Inf number: 16,745.7268238067627,background,tv
Inf number: 17,745.722770690918,background,bottle,diningtable,person
Inf number: 18,747.2810745239258,background,tv
Inf number: 19,745.3937530517578,background,bird
Inf number: 20,746.7565536499023,background,horse,person
Inf number: 21,745.6324100494385,background,bird,dog,sheep
Inf number: 22,746.7250823974609,background,train
Inf number: 23,749.1576671600342,background,train
Inf number: 24,745.6550598144531,background,aeroplane,person
Inf number: 25,746.145486831665,background,bottle,diningtable,person
Inf number: 26,746.4094161987305,background,bird,cat,dog
Inf number: 27,746.0777759552002,background,bird,bottle,chair,diningtable,pottedplant
Inf number: 28,747.5864887237549,background,train
Inf number: 29,745.0065612792969,background,boat
Inf number: 30,746.8185424804688,background,chair,person,sofa
Inf number: 31,744.2150115966797,background,boat
Inf number: 32,745.4380989074707,background,car,person
Inf number: 33,747.6062774658203,background,chair,dog,horse,person
Inf number: 34,745.6743717193604,background,cow,horse,person
Inf number: 35,744.8141574859619,background,bird,person
Inf number: 36,745.3162670135498,background,aeroplane,boat,person
Inf number: 37,747.3154067993164,background,chair,tv
