,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/randomized_iamges/0.jpg,10.371425463000037,[],[],[],[]
1,/home/pi/sambashare/BacArbeit/randomized_iamges/1.jpg,9.868167201000006,[],[],[],[]
2,/home/pi/sambashare/BacArbeit/randomized_iamges/2.jpg,9.954425275999938,[],[],[],[]
3,/home/pi/sambashare/BacArbeit/randomized_iamges/3.jpg,9.744091377000018,[],[],[],[]
4,/home/pi/sambashare/BacArbeit/randomized_iamges/4.jpg,9.778203350000013,[],[],[],[]
5,/home/pi/sambashare/BacArbeit/randomized_iamges/5.jpg,9.92483769599994,[],[],[],[]
6,/home/pi/sambashare/BacArbeit/randomized_iamges/6.jpg,9.91155126700005,[],[],[],[]
7,/home/pi/sambashare/BacArbeit/randomized_iamges/7.jpg,9.943133046999947,[],[],[],[]
8,/home/pi/sambashare/BacArbeit/randomized_iamges/8.jpg,9.903936527999917,[],[],[],[]
9,/home/pi/sambashare/BacArbeit/randomized_iamges/9.jpg,9.746261257000015,[],[],[],[]
10,/home/pi/sambashare/BacArbeit/randomized_iamges/10.jpg,9.782448728999952,[],[],[],[]
11,/home/pi/sambashare/BacArbeit/randomized_iamges/11.jpg,9.851922309999964,[],[],[],[]
12,/home/pi/sambashare/BacArbeit/randomized_iamges/12.jpg,9.939888098999972,[],[],[],[]
13,/home/pi/sambashare/BacArbeit/randomized_iamges/13.jpg,9.940781421999873,[],[],[],[]
14,/home/pi/sambashare/BacArbeit/randomized_iamges/14.jpg,9.85717435499987,[],[],[],[]
15,/home/pi/sambashare/BacArbeit/randomized_iamges/15.jpg,10.097854781000024,[],[],[],[]
16,/home/pi/sambashare/BacArbeit/randomized_iamges/16.jpg,9.98816422599998,[],[],[],[]
17,/home/pi/sambashare/BacArbeit/randomized_iamges/17.jpg,9.795746198000188,[],[],[],[]
18,/home/pi/sambashare/BacArbeit/randomized_iamges/18.jpg,9.709726921000083,[],[],[],[]
19,/home/pi/sambashare/BacArbeit/randomized_iamges/19.jpg,9.90606555799991,[],[],[],[]
20,/home/pi/sambashare/BacArbeit/randomized_iamges/20.jpg,9.561261516000059,[],[],[],[]
21,/home/pi/sambashare/BacArbeit/randomized_iamges/21.jpg,9.626833193000039,[],[],[],[]
22,/home/pi/sambashare/BacArbeit/randomized_iamges/22.jpg,9.760729647000062,[],[],[],[]
23,/home/pi/sambashare/BacArbeit/randomized_iamges/23.jpg,9.846883081999977,[],[],[],[]
24,/home/pi/sambashare/BacArbeit/randomized_iamges/24.jpg,9.723932076999972,[],[],[],[]
25,/home/pi/sambashare/BacArbeit/randomized_iamges/25.jpg,9.926336940000056,[],[],[],[]
26,/home/pi/sambashare/BacArbeit/randomized_iamges/26.jpg,9.764961827999969,[],[],[],[]
27,/home/pi/sambashare/BacArbeit/randomized_iamges/27.jpg,9.960702249000178,[],[],[],[]
28,/home/pi/sambashare/BacArbeit/randomized_iamges/28.jpg,9.731852730000128,[],[],[],[]
29,/home/pi/sambashare/BacArbeit/randomized_iamges/29.jpg,9.830729435999956,[],[],[],[]
30,/home/pi/sambashare/BacArbeit/randomized_iamges/30.jpg,9.979979913999841,[],[],[],[]
31,/home/pi/sambashare/BacArbeit/randomized_iamges/31.jpg,9.94206138100003,[],[],[],[]
32,/home/pi/sambashare/BacArbeit/randomized_iamges/32.jpg,9.979850478999879,[],[],[],[]
33,/home/pi/sambashare/BacArbeit/randomized_iamges/33.jpg,9.899149870999963,[],[],[],[]
34,/home/pi/sambashare/BacArbeit/randomized_iamges/34.jpg,9.81396394300009,[],[],[],[]
35,/home/pi/sambashare/BacArbeit/randomized_iamges/35.jpg,9.848658984999929,[],[],[],[]
36,/home/pi/sambashare/BacArbeit/randomized_iamges/36.jpg,9.756864402999781,[],[],[],[]
37,/home/pi/sambashare/BacArbeit/randomized_iamges/37.jpg,9.839966039000046,[],[],[],[]
38,/home/pi/sambashare/BacArbeit/randomized_iamges/38.jpg,9.72516007299987,[],[],[],[]
39,/home/pi/sambashare/BacArbeit/randomized_iamges/39.jpg,9.676184057,[],[],[],[]
40,/home/pi/sambashare/BacArbeit/randomized_iamges/40.jpg,9.818415640000012,[],[],[],[]
41,/home/pi/sambashare/BacArbeit/randomized_iamges/41.jpg,9.957186752000098,[],[],[],[]
42,/home/pi/sambashare/BacArbeit/randomized_iamges/42.jpg,9.941255305999903,[],[],[],[]
43,/home/pi/sambashare/BacArbeit/randomized_iamges/43.jpg,9.664384569000049,[],[],[],[]
44,/home/pi/sambashare/BacArbeit/randomized_iamges/44.jpg,9.641670453000188,[],[],[],[]
45,/home/pi/sambashare/BacArbeit/randomized_iamges/45.jpg,9.707729781000126,[],[],[],[]
46,/home/pi/sambashare/BacArbeit/randomized_iamges/46.jpg,9.735149758000034,[],[],[],[]
47,/home/pi/sambashare/BacArbeit/randomized_iamges/47.jpg,9.896137210000006,[],[],[],[]
48,/home/pi/sambashare/BacArbeit/randomized_iamges/48.jpg,9.856485840000005,[],[],[],[]
49,/home/pi/sambashare/BacArbeit/randomized_iamges/49.jpg,9.95511048100002,[],[],[],[]
50,/home/pi/sambashare/BacArbeit/randomized_iamges/50.jpg,9.76697141600016,[],[],[],[]
51,/home/pi/sambashare/BacArbeit/randomized_iamges/51.jpg,9.784508823000124,[],[],[],[]
52,/home/pi/sambashare/BacArbeit/randomized_iamges/52.jpg,9.802743661000022,[],[],[],[]
