         497217 function calls (354072 primitive calls) in 17.281 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   17.281   17.281 segmentation.py:962(pytorch)
    221/2    0.005    0.000   13.342    6.671 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1188(_call_impl)
        1    0.000    0.000   13.333   13.333 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/segmentation/_utils.py:20(forward)
     15/6    0.005    0.000   13.125    2.188 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:202(forward)
       63    0.001    0.000   11.964    0.190 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:462(forward)
       63    0.001    0.000   11.963    0.190 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:454(_conv_forward)
       63   11.962    0.190   11.962    0.190 {built-in method torch.conv2d}
        1    0.000    0.000    7.847    7.847 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/_utils.py:66(forward)
       16    0.297    0.019    7.661    0.479 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/resnet.py:143(forward)
        1    0.000    0.000    4.540    4.540 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/segmentation/deeplabv3.py:108(forward)
        1    0.000    0.000    2.172    2.172 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:462(load)
        1    0.000    0.000    2.172    2.172 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:546(_load_local)
      2/1    0.000    0.000    2.171    2.171 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/_utils.py:130(wrapper)
      2/1    0.001    0.001    2.171    2.171 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/_utils.py:171(inner_wrapper)
        1    0.017    0.017    2.169    2.169 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/segmentation/deeplabv3.py:221(deeplabv3_resnet50)
        1    0.000    0.000    1.304    1.304 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/resnet.py:700(resnet50)
        1    0.000    0.000    1.304    1.304 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/resnet.py:288(_resnet)
