,image,inference time,label
0,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2008_003511.jpg,0.12233229097910225,"['background', 'dog', 'person']"
1,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_001008.jpg,0.11789112503174692,"['background', 'cat', 'chair']"
2,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2008_006327.jpg,0.12371120799798518,"['background', 'sheep']"
3,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_003810.jpg,0.1261130409548059,"['background', 'cat', 'dog', 'sofa']"
4,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2010_000110.jpg,0.1210057920543477,"['background', 'bird', 'cat', 'dog']"
5,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_003804.jpg,0.11992629093583673,"['background', 'cow', 'horse']"
6,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2011_001114.jpg,0.1236125830328092,"['background', 'aeroplane']"
7,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2008_000795.jpg,0.12155562499538064,"['background', 'person']"
8,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_005078.jpg,0.12070070905610919,"['background', 'motorbike']"
9,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_005087.jpg,0.12062633305322379,"['background', 'bicycle', 'person']"
10,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2011_002623.jpg,0.12137483397964388,"['background', 'person']"
11,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2010_001024.jpg,0.12262745795305818,"['background', 'aeroplane', 'person']"
12,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_000712.jpg,0.1207902500173077,"['background', 'train']"
13,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_000074.jpg,0.17967658303678036,"['background', 'motorbike', 'person']"
14,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_003569.jpg,0.1210089169908315,"['background', 'cow', 'horse']"
15,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2008_001070.jpg,0.14501850004307926,"['background', 'dog']"
16,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2010_004941.jpg,0.11872708308510482,"['background', 'motorbike']"
17,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_002887.jpg,0.11935049993917346,"['background', 'train']"
18,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2011_001276.jpg,0.1239559999667108,"['background', 'cat', 'chair', 'person', 'potted plant', 'sofa']"
19,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2007_001763.jpg,0.12288870906922966,"['background', 'cat', 'chair', 'sofa']"
20,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2010_004772.jpg,0.12290783296339214,"['background', 'boat']"
21,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2007_008747.jpg,0.11751949996687472,"['background', 'bus', 'car', 'person']"
22,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2010_000272.jpg,0.12050416693091393,"['background', 'boat']"
23,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2009_000935.jpg,0.11948954092804343,"['background', 'cat', 'dog', 'horse']"
24,/Users/marounel-chayeb/BacArbeit/pascal_voc_2012/2008_000391.jpg,0.12158204207662493,"['background', 'potted plant']"
